"name"
"DI CENTA Giorgio"
"PILLER COTTRER Pietro"
"COLOGNA Dario"
"JESSEN Kari"
"NILSEN Inger Liv Bjerkreim"
"MONRAD-HANSEN Marte"
"JENSEN Lena"
"FREDRIKSEN Marit Liland"
"LAUKKANEN Mari"
"RINTALA Mirva"
"TARVONEN Silja"
"CAMENISCH Karin"
"HOKKANEN Heini"
"RYDQVIST Maria"
"ANNILA Satu"
"BALATKOVA ERBENOVA Helena"
"SMYTH Morgan"
"BACHMANN Valentina"
"CAVALLAR Veronica"
"SANTER Stephanie"
"VEDENEEVA Elena"
"ANTSYBOR Maryna"
"GRYGORENKO Kateryna"
"KUZNETSOVA Tatjana"
"VIKMAN Ingrid"
"BRENNAN Rosie"
"MARSHALL Alysson"
"DEHLIN Lindsey"
"WILLIAMS Lindsey"
"WIDMER Heidi"
"AMMAR Amanda"
"KROMM Marlis"
"NISHIKAWA Emily"
"THERIAULT Milaine"
"ARDUSER Kate"
"MANNIX Tazlina"
"DONG Evelyn"
"MATVEEVA Natalia"
"GALEWICZ Martyna"
"GREDIG Sandra"
"DABUDYK Aurelie"
"CAPRINI Pauline"
"ROSHINA Tatjana"
"HAJKOVA Eliska"
"NAFRANOVICH Irina"
"AYDIN (CETINKAYA) Kelime"
"BLECKUR Sofia"
"GRAEFNINGS Maria"
"HANSSON Jenny"
"OLSSON Ida"
"SEPPAS Hanna"
"STROEMSTEDT Anna Karin"
"SVENSSON Therese"
"SIMBERG Anna"
"SVENSSON Eva"
"BLASKOVA Barbara"
"BURUKHINA Elena"
"OEYE Jorunn"
"SHEDENKO Tatyana"
"BROETO Anette"
"LOEFSTROEM Annika"
"URDAHL Ingrid"
"SOLLI Guro Stroem"
"GROENVOLL Maria"
"VAELIMAA (ANTILLA) Kirsi"
"NYSTROEM Susanne"
"HALLBERG Sanna"
"PILLER Marina"
"SEMENOVYHK Yekaterina"
"NIKOLAEVA Svetlana"
"SUIJA Silja"
"RJABOV Marit"
"BO Song"
"BETCHERMAN Tasha"
"PERRY Hannah"
"MCTAVISH Megan"
"PUIRAS (LAAKSO) Rebecca"
"NUTRIKHINA Olga"
"SHAIDUROVA Larisa"
"ZUBENKO Svetlana"
"RYSINA Nina"
"LOSEVA Marya"
"HUEBERLI Muriele"
"LOUKKOLA Marjo"
"PEDERSEN Hilde G."
"BJOERNAAS Kine Beate"
"GAUSEN Kristin"
"MUSCHET Kerstin"
"NEUMANNOVA Katerina"
"BAUER Viola"
"FORSMAN Emilia"
"ANDERSSON Carolin"
"SKEI Kristin"
"HAUGEN Stine"
"ENGEN Therese"
"NORDBERG Kjersti"
"ROE Magnhild"
"BRAATHEN Solfrid"
"HALLE Siri"
"VENAELAEINEN-SUNDQVIST Kati"
"SAARI JAHO Milla"
"MAEMPEL Antje"
"LIMBY Julia"
"BACHMANN Flurina"
"ZERNOVA Natalia"
"NAGEJKINA Svetlana"
"KOROLIK SHABLOUSKAYA Ludmila"
"MIGNEREY CONDEVAUX Anne-Laure"
"BARNET Marion"
"BAILLY Anne-Lise"
"PEYROT Lara"
"ANTONELLI Barbara"
"MORIGGL Barbara"
"IELLICI Daniela"
"KORANDER Marjo"
"PORVARI Pirjo"
"YOKOYAMA Sumiko"
"KONRAD Sarah"
"EK Elin"
"PERSSON Ulrica"
"LUNDBAECK Emma"
"MARKELOVA Petra"
"SCOTT Beckie"
"SONETA Chizuru"
"MARUYAMA Chie"
"NOJIRI Azusa"
"OEHRSTIG Emelie"
"PARUZZI Gabriella"
"TAFJORD Ann-Eli"
"BARANOVA-MASOLKINA Natalia"
"HIIPAKKA Katja"
"SVIDEN Kina"
"RESCHWAMM SCHULZE Anke"
"SELBAEK Laila"
"WELTZIEN Ingunn"
"AAS Ingvild"
"WIGERNAES Ine"
"PEDERSEN Lena C."
"WEYDAHL Lydia Benedicte"
"PERRILLAT-COLLOMB (STORTI) Aurelie"
"VILJANMAA Annmari"
"LIMBY Jenny"
"PETTERSSON Sofia"
"HIETAMAEKI-PIENIMAEKI Elina"
"WAGNER Wendy Kay"
"JAEGGY Aurelie"
"FEICHTNER Barbara"
"LARSON Abigail"
"KEZELE Maja"
"STAROSTINA Daria"
"DUSSAULT Rebecca"
"PALUSELLI Cristina"
"GYENESEI Leila"
"VARIS Kaisa"
"SANTER Anna"
"VORONTSOVA Ekaterina"
"KURG Onne"
"REHEMAA Jana"
"CHRASTKOVA Martina"
"STURSOVA Martina"
"ZAMBO Viktoria"
"WHITTEN Tara"
"BAUGHMAN (HOVEY) Brooke"
"SOKLIC Mirjam"
"CROCKER Alison"
"WHITCOMB Kate"
"SCALLION Margret"
"BISSON Christine"
"FABIUS Kerrie"
"SALONEN Satu"
"BRAATHEN Merethe"
"MALI Andreja"
"KELDER Christina"
"DOMEIJ Sofia"
"OLSSON Jenny"
"LARSSON Moa"
"KNOTTEN Ingrid"
"NORDTOEMME Liv Miriam"
"MATHIESEN Christine"
"PELTONEN Heli"
"TUUKKANEN Terhi"
"KRELLNER Anja"
"SMIGUN Katrin"
"KLAUS Isabel"
"KRAVTSOVA Eugenia"
"OLSEN KATNOSA Anita"
"ZJATIKOVA Natalya"
"ZJATIKOVA Vera"
"GYORGY Monika"
"KUNZ Nicole"
"ELFFORS Anna"
"LIND Sofia"
"ROENNESTRAND Kristin"
"NORDMARK Lina"
"NARUM Ingrid"
"ODEGAARD Unni"
"ROALDSETH Marit"
"HALONEN Maria"
"PUTTONEN Lotta"
"PETTERSEN Hanne"
"ANDERSEN Tove"
"LILLEBUDAL Stine"
"RYSTE Bodil"
"AXELSEN Lene Kilsund"
"ENGESLAND Ingvild"
"RUESLAATTEN Solveig"
"SOLUM Magni"
"HANDLER Mariana"
"WISSTING Jenny"
"VASILIEVA Lilia"
"PORRINI Cornelia"
"VEUM Anja"
"HUDRY Sabine"
"HUBER Andrea"
"BAY Tina"
"PALANOVA Lenka"
"KUPILIKOVA Alena"
"LETENSKA Petra"
"KALUGINA Elena"
"SABIRZIANOVA Diliara"
"OSWALD Domenica"
"TERELIA Irina"
"HIZAR Ines"
"OESTBY Jannike"
"PLOTZSKAJA Elena"
"SKARI MARTINSEN Bente"
"MOEN Anita"
"SIRVIOE Riikka"
"SORKMO Maj Helen"
"GAVRILJUK Nina"
"LACEN Natasa"
"SENTELER Andrea"
"LUNARDI Harmony"
"BUKVAJOVA Jaroslava"
"PETERSON Aelin"
"ZEIBIG Yvonne"
"GREGORIN Teja"
"ROSA Anna"
"VAXELAIRE-PIERREL Annick"
"EGOROVA Ljubov"
"NIKITINA Elena"
"ZEHENTNER Karin"
"HIERSCHLAEGER Michaela"
"KENDLER Marlene"
"OTAKA Tomomi"
"SKLADNEVA LUSINA Irina"
"BELMONDO Stefania"
"FORTIER Amanda"
"FORTIER Jaime"
"NILSEN Elin"
"KEMPPEL Nina"
"MADSEN Trude"
"SCHEI Ronnaug"
"KJERSTADMO Eva"
"BJERKE Heidi"
"RISVOLL Cecilie"
"ALBRECHT LORETAN Brigitte"
"ULKESTAD Gunn-Elisabeth"
"PETTERSSON Linda"
"SALDOVA Jana"
"PESTREKOVA Marina"
"DANILOVA Olga"
"GOTO Kanoko"
"STCHASTLIVAIA Ekaterina"
"HIZAR Tina"
"DESHEVYKH Svetlana"
"OLOFSSON Anna-Carin"
"KWASNA Dorota"
"HANUSOVA Katerina"
"HEEB Barbara"
"ROTH Ramona"
"LAZUTINA Larissa"
"ANTTILA Liisa"
"NEGELE Martina"
"FURUSAWA Midori"
"YOKOYAMA Kumiko"
"ORDINA Antonina"
"KOCUMOVA Zuzana"
"GAYASOVA Elena"
"ESKILSSON Kickki"
"OEHMAN Karin"
"KNOTTEN Guri"
"ROIDER Renate"
"GUILLEMIN Stephanie"
"BENOIT Tessa"
"JONES Barbara"
"ORAM SCHWARTZ Melissa"
"JODER Kristina"
"CASE Christa"
"SCHULER Sibylle"
"BLUM Constanze"
"JEANPIERRE Yolande"
"LAZARUT Monica"
"SANTER Saskia"
"COSNER Lorenza"
"ROKKE Kathrine"
"AOKI Fumiko"
"EVALDSSON Annika"
"THEURL Maria"
"KESSLER Nathalie"
"NYMAN Anita"
"HAVRANCIKOVA Alzbeta"
"VAHTRA Cristel"
"VILLENEUVE Sophie"
"WILHELM Kati"
"HONEGGER Sylvia"
"POROMAA FANQVIST Anette"
"FRITHIOFF Anna"
"WILLE Sigrid"
"SINKEVITCH Yelena"
"DASSIE Nancy"
"MELVEY Camille"
"MESOTITSCH Bettina"
"SMIRNOV Vladimir"
"WIGGER Jeremias"
"SKAANES Oeivind"
"TSHEPIKOV Sergei"
"MOGREN Torgny"
"NAGAHAMA Kazutoshi"
"BELLMANN Uwe"
"FUGLEM Jan Ole"
"ALBARELLO Marco"
"HAALAND Lars"
"ERIKSSON Magnus"
"EVANS Anthony"
"MARSLAND Finn"
"BEHLE Jochen"
"PLAKSUNOV Viatscheslav"
"SANCHEZ Philippe"
"ROENBECK Oeystein"
"HUDAC Ivan"
"HARTONEN Jukka"
"BALLAND Herve"
"KASSIN Elmo"
"GOUTNIKOV Grigorij"
"HAAS Isidor"
"GUGGENBUEHL Rolf"
"BLANCHARD Chris"
"RAUCH Men"
"TCHERNYCH Sergei"
"VANZETTA Giorgio"
"SKIFTE Henrik"
"ULVANG Vegard"
"VALLET Cedric"
"BENC Pavel"
"BADAMSCHIN Igor"
"WALLENDORF Wolf"
"KLEINER Sebastian"
"SCHULER Martin"
"EMMENEGGER Daniel"
"KALBENMATTEN Lukas"
"SIMMEN Mathias"
"WOROBJOV Alexander"
"LANGLI Terje"
"AZAMBRE Stephane"
"DIETHELM Hans"
"RAESAENEN Jari"
"BOUCHARD Dany"
"NIVA Bernt"
"VISSER Guido"
"BILODEAU Yves"
"POLVARA Gianfranco"
"KERSTAJN Robert"
"HUSABY Benjamin"
"MOLIN POLEDANA Ivano"
"MIGNEREY Pierre"
"BAUER Bruce"
"BACHMANN Reto"
"GORRY Franck"
"DUSTIN Wayne"
"MIKKELSPLASS Marit"
"HARTZ DYBENDAHL Trude"
"PYYKKONEN Tuulikki"
"HUGG Sara"
"PETTY Kerrin"
"BRAENNARE Mareena"
"KUUSISTO Merja"
"DI CENTA Manuela"
"RUCHALA Malgorzata"
"WIENAND Britta"
"FORTOVA ZELINGEROVA Iveta"
"PIOTROWSKA POCEK Bernadeta"
"PULKKINEN Kati"
"ILANOVSKA-BALAZOVA Lubomira"
"VAELBE Elena"
"SCHOUPLETZOVA Irina"
"NOVIKOVA Natalia"
"UNTERNAEHRER Franziska"
"NUNIGE Jasmin"
"METTLER Barbara"
"DAL SASSO Guidina"
"WILSON Laura"
"SOERUM Ruth"
"TUOVILA Miia"
"KUEMMEL Ina"
"TARTER Roberta"
"SCARUFFI Nadia"
"KUTLIKOVA Tatiana"
"RAUCH Aita"
"EDER Irene"
"OESTLUND Marie Helene"
"NYBRAATEN Inger"
"THOMPSON Leslie"
"MAATTA Pirkko"
"STEELE MASSON Lucy"
"KING Suzanne"
"TARDY Elisabeth"
"STANISIERE Carole"
"ROLIG LUKKARINEN Marjut"
"PEDERSEN Lene"
"METTLER Christine"
"WONSAVAGE Dorcas"
"OESCH Stephanie"
"JUNG Eui Myung"
"DAMJANOVSKI Darko"
"SARGSYAN Hovhannes"
"SILVA Danny"
"GERMANIS Juris"
"AUBERT TORRENTS Laia"
"RAYMOND Marie-Odile"
"PEPENE Paul Constantin"
"PAIPALS Janis"
"KAPPAS Dimitrios"
"YUSUFUOGLU Omer"
"VELICHKOV Lyuben"
"SZABO Milan"
"KONTAK Filip"
"PLATT Simon James"
"GKOUNKO Alexis"
"MOELGAARD Lasse"
"BURIC Andrej"
"STANDEN Alexander"
"MIKAYELYAN Sergey"
"BARRON Peter-James"
"LANNES Carlos"
"SMRKOVIC Rejhan"
"PLAKALOVIC Mladen"
"RIBELA Leandro"
"DIZDAREVIC Sanjin"
"POGHOSYAN Tadevos"
"ANDRESKI Sote"
"EASON Alan"
"WYND Andrew"
"MILENKOVIC Aleksandar"
"JAKOBSSON Jakob E."
"OGLAGO Burhan"
"ICOSKI Gjorgji"
"MALEC Vedrana"
"YOUNG Sarah"
"KIROSKA Rosana"
"KARISIK Tanja"
"SMRKOVIC Belma"
"KOUVA Rayna"
"SMITH Aubrey"
"PELLEGRINO Federico"
"NORTHUG Tomas"
"BELOV Evgeniy"
"GOLBERG Paal"
"BYGGLAND Aanund Lid"
"EISENLAUER Sebastian"
"OZERSKIY Dmitriy"
"VIERIN Francois"
"KROGH Finn Haagen"
"WOLZ Alexander"
"MELNIK Aliaksandr"
"JAY Renaud"
"GROS Baptiste"
"KARLSSON Anton"
"STROITELEV Fedor"
"NIZZI Enrico"
"BARTON Jan"
"SCHNETZER Michael"
"BJORNSEN Erik"
"GOALABRE Paul"
"LENTING Akira"
"GUSTAFSSON Victor"
"RAKHIMBAEV Daulet"
"KOMU Jouni"
"COLOGNA Gianluca"
"MAKA Daniel"
"PACKER Eric"
"GAZUREK Sebastian"
"STAROSTIN Mark"
"BUNTE Philip"
"JEANNEROD Alexis"
"KORNFIELD Tyler"
"SCHNIDER Ueli"
"BACHNER Gert"
"RETIVYKH Gleb"
"STEWART-JONES Patrick"
"SHIELDS Andy"
"SIMENC Matej"
"MIYAZAWA Hiroyuki"
"RAGOZIN Roman"
"KOSTJUKOVS Rinalds"
"BALDAUF Dominik"
"HAELG Philipp"
"SCUK Amel"
"ERIKSSON Johan"
"GORJANC Matjaz"
"VORANAU Aliaksandr"
"TRSAN Rok"
"KAPSO Martin"
"MASLENNIKOV Aleksandr"
"KHLIBURAD Iurii"
"ROJO Imanol"
"HOGIU Petrica"
"RZESZOTKO Marcin"
"HOLLAND Zach"
"TARLING Sam"
"GONCHAROV Oleksandr"
"HULGAARD Lasse"
"BRUNN David"
"SLOTINS Roberts"
"SAMBLA Avo"
"DADIC Edi"
"POLACKO Michal"
"DEYANOV Simeon"
"ATES Suleyman"
"BELLINGHAM Phillip"
"SINAPOV Anton"
"STROLIA Vytautas"
"BING Thomas"
"NISKANEN Iivo"
"DOTZLER Hannes"
"HYVARINEN Perttu"
"VITSENKO Alexey"
"GARDENER Stefano"
"CLEMENTI Fabio"
"PATTERSON Scott"
"QUEMERE Tao"
"WICK Thomas"
"KLAVZAR Bostjan"
"TARANTOLA Damien"
"NORRIS David"
"HORCICKA Jiri"
"LINDBLAD Anton"
"TOENSETH Didrik"
"PRALONG Candide"
"FAYZULOV Ildar"
"HAUKE Max"
"LOPOTA Martin"
"ASTAPENKA Yury"
"SMITH Callum"
"AUGUSTINAK Dusan"
"SMAGIN Nikita"
"WOHLLEBEN Max"
"STADLOBER Luis"
"BIKERNIEKS Nauris"
"ORHAN Erkan"
"KONYA Adam"
"MALTSEV Artem"
"BOEGL Lucas"
"MALYSHEV Sergey"
"LIGOCKI Mateusz"
"HERBURGER Aurelius"
"LIEDERER Niklas"
"PERSSON Simon"
"LLOYD Steffan"
"SHIMIZU Kohei"
"SHAKIRZIANOV Raul"
"MALYSHEV Alekxandr"
"KILLICK Graeme"
"PELLEGRIN Mattia"
"ANTOKHIN Anton"
"STAREGA Maciej"
"KORPELA Heikki"
"RIMAHAZI Matija"
"SAARELA Ville-Petteri"
"AXMANN David"
"JOHNSON Patrick"
"CARTWRIGHT George"
"MOLLIET Clement"
"JAUN Pascal"
"STEC Krzysztof"
"COCKNEY Jesse"
"PUCHIANU Cornel"
"SABRANSKY Christof"
"KRYVCHENKO Mykola"
"HULGAARD Jens"
"TREINEN Alexander"
"KALSIN Andrey"
"SKINSTAD Petter Soleng"
"SUZDALEV Anton"
"GREER David"
"KAUTZ Michal"
"EGRAZ Martin"
"IMPOLA Bill"
"BAER Bernhard"
"VIKULIN Pavel"
"MAETTIG Valentin"
"BACHL Philipp"
"LILJEMARK Martin"
"BUTTIN Bastien"
"MACIAS Inigo"
"ZIESLER Jacob"
"CUTTS Kevin"
"FELLER Andrey"
"CACCAMO Vincent"
"SEMENENKA Uladzislau"
"NEVALA Matti"
"LESNIK Andrzej"
"JOHANSSON Adam"
"BERNSTEIN Franz"
"BELOMAZHEV Stanimir"
"REPANSEK Anze"
"LUUSUA Ari"
"VUOTI Sami"
"GALANDAK Michal"
"KOVAL Vasyl"
"SUOJAERVI Harri"
"RAZYM Vladislav"
"TREINEN Max"
"MATVIYENKO Gennadiy"
"BIRGISSON Saevar"
"STORVALL Eric"
"TANAKA Tomuya"
"KOSTNER Janmatie"
"MAISEYENKA Ihar"
"OESTBERG Eivind Flugstad"
"WEITGASSER Lukas"
"ROJO Ioseba"
"TRITSCHER Bernhard"
"GUNDERSEN Tore Martin Soebak"
"NYDAL Hallvard Moian"
"GULIAEV Ivan"
"RUEFLI Philipp"
"PEREKHODA Ruslan"
"VANZETTA Alex"
"LENES Haakon James"
"HOWE Alexander"
"NYGREN Karl"
"CONSAGRA Claudio"
"ZISKA Peter"
"MASHKO Andriy"
"TKACZ Piotr"
"WIESER David"
"KYOSEV Petar"
"DUERR Johannes"
"VASILIEV Dmitriy"
"HERBURGER Felizian"
"KARLSSON Patrik"
"KUEHNE Andy"
"GELSO Matthew Phillip"
"GUND Bjoern"
"SCHATZ Axel"
"KOPAKKA Heikki"
"ENGSTROEM Magnus"
"SCHAEFER Vitali"
"KRALJ Gregor"
"OTTOSSON Markus"
"JONSSON Anders"
"FUNDANICZ Kamil"
"ANISIMOV Ivan"
"WATSON Ewan"
"YUKSEL Fatih"
"VINOGRADOV Yuriy"
"VUILLERMOZ Richard"
"SJOEHOLM Anton"
"KOYAMA Takashi"
"RANDALL Glenn"
"LJUNG Lars"
"COMPAGNONI Daniele"
"LISCHER Roman"
"MARKSET Kjell-christian"
"SKJELBOSTAD SLETTEN Even"
"IGAWA Junichi"
"PEZZO Mirco"
"TRUE Benjamin"
"FERNANDEZ Christian"
"ZUPAN Andraz"
"FIGI Fabian"
"SHVIDKIY Oleksiy"
"SCHULER Harald"
"KUFNER Alen"
"SUTHER Lars"
"FLAHARTY Tyson"
"MATHISEN Bengt-Magnus"
"SIMONS Casey"
"OREN Bayram"
"KANGARLOO Justin"
"ULLMANN Steve"
"NELSON Lars"
"CLEMENTI Federico"
"HECKRODT Jesse"
"DYCK Casey"
"JELENC Blaz"
"HUOPANA Tuomas"
"DE MANINCOR Luca"
"OLIVEROS Manuel"
"LITLERE Lars"
"FOLLADOR Alessandro"
"GRAB Pascal"
"KANGARLOO Cyrus"
"OMORI Wataru"
"RUIZ Alberto"
"DAMMEN Kjetil Hagtvedt"
"FOSTER Ryan"
"HECHL Lukas"
"LEIJON Markus"
"SCOTT Steve"
"KOLSTAD Jonas Austmo"
"VYKOUKAL Jan"
"NOGAMI Takahisa"
"BLAIS Jonathan"
"PUIGSUBIRA Marco"
"FOSTER Ethan L"
"STRABEL Eric"
"KEPLINGER Markus"
"YAMAMURO Tadashi"
"BERGERUD Lars"
"JOLY Guillaume"
"LAURIN Jean Pascal"
"LUSHKIN Alexey"
"CHURCHILL Lee"
"SCHREIER Thorsten"
"FROHS Joern"
"SCHWOERER Tobias"
"LEONARDI Ugo"
"SLIND Kari Oeyre"
"GODOVANICHENKO Daria"
"ANGER Lucia"
"TIKHOVA Evgenia"
"RINGWALD Sandra"
"AYMONIER Celia"
"MOUILLESEAUX Lucile"
"DIGGINS Jessica"
"CALDWELL Sophie"
"BUILLET Marion"
"DAVYDENKOVA Maria"
"SOBOLEVA Elena"
"RAZINGER Nika"
"SCHWARZ Nathalie"
"MEYER Johanna"
"SCHICHO Elisabeth"
"GROHOVA Karolina"
"RONCARI Debora"
"MAYERHOFER Veronika"
"TASSION Laure"
"PEKKARI Fanny"
"MARCISZ Ewelina"
"MARKKANEN Sanna"
"REID Joanne"
"HOLUBOVA Petra"
"HORKA Ludmila"
"KNOPOVA Kamila"
"SARA Timeea"
"SPRECHER Stefanie"
"SEVERRUS Eva"
"SLOWIOK Anna"
"BEATTY Dahria"
"BROZNIC Nina"
"KALIADA Tatsiana"
"KOZIELSKA Magdalena"
"ARDISAUSKAITE Ingrida"
"STOYAN Anna"
"MORRAL Berta"
"MORDARSKA Justyna"
"LOPEZ Maialen"
"GUNES Busra"
"SCHERBININA Anna"
"SEROKHVOSTOVA Elena"
"HAGA Ragnhild"
"EICHHORN Theresa"
"PATTERSON Caitlin"
"STADLOBER Teresa"
"HART Anne"
"COLIN Marion"
"SCARDONI Lucia"
"THORN Madeleine"
"NORDSTROEM Maria"
"LACROIX Roxane"
"KADRMANOVA Ivana"
"STANISIC Lucija"
"LOETSCHER Christine"
"SPRECHER Patricia"
"JANOUSKOVA Martina"
"SMIRNOVA Inna"
"AGREITER Debora"
"KAUPPINEN Tanja"
"HOECK Christina-Lisa"
"MEDVEDEVA Polina"
"BJORNSEN Sadie"
"MENDE Esther"
"SOEMSKAR Linn"
"OEBERG Jennie"
"GREER Janelle"
"MORANDINI Lisa"
"KLIMKOVA Lucia"
"GLEN Amy"
"AUCLAIR Catherine"
"MERRITT Georgia"
"LEASK Ingrid"
"WIKEN Emma"
"TANYGINA Alevtina"
"DI SOPRA Francesca"
"WILHELM Karolin"
"GUSCHINA Mariya"
"JACOB Anne"
"MAKOVEEVA Natalia"
"SKRBKOVA Tereza"
"MYKHNYUK Galyna"
"DEBERTOLIS Ilaria"
"SARGENT Ida"
"KORSGREN Lina"
"USATOVA Oxana"
"HRAKOVICH Yana"
"LANCHAKOVA Vika"
"SHAMSHURINA Oxana"
"PICHARD Lucy"
"LAZAREVA Olga"
"BIESZCZAD Kinga"
"KASAHARA Chihiro"
"TURZIAN Alexa"
"DROLET Stephanie"
"LANGEL Tiffany"
"CASALI Ilenia"
"GORRA Melissa"
"MAYERHOFER Johanna"
"MARALSKAIA Ekaterina"
"HLOPOTINA Olga"
"BLANES Beatriz"
"TOLAROVA Sona"
"EKBERG Sofie"
"ROSSLEROVA Zuzana"
"TYLER Parker"
"BENDER Jennie"
"MUELLER Jessica"
"DE MARTIN TOPRANIN Virginia"
"MARCISZ Marcela"
"KOBAYASHI Yuki"
"STAREGA Anna"
"HEWITT Sara"
"BUEHLER Sabrina"
"ROUDOT Solenne"
"ROMBACH Laura"
"ROESTI Manuela"
"HIEMER Steffi"
"HABERMANN Elisabeth"
"PREKURAT Aleksandra"
"KAMINSKAYA Valiantsina"
"SCHJOELBERG Tiril"
"HAIBEL Carolin"
"SCHNEIDER Franziska"
"KNAP Alexandra"
"LAURSON Kristel"
"VELJKOVIC Zvjezdana"
"BERGMAN Emma"
"ANTIPOVA Marina"
"SIEBER Raphaela"
"MOROGOVA Tatiana"
"SLESAREVA Marina"
"TANGEN Caroline"
"RUF Marion"
"DITTRICH Antje"
"WESTLUND Inger-Lise"
"BACHMANN Nadine"
"ISHIGAKI Sumiko"
"AESCHLIMANN Kaethy"
"STEBLER Silvia"
"STRAUBE Claudia"
"IKSANOVA Alija"
"SLEPOVA Anna"
"BIRKIGT Marcia"
"AZEGAMI Naoko"
"SWIEDER Julia"
"SCHREMPF Romana"
"BELSAK Brigita"
"RENNIE Claire"
"MALEC Lorena"
"JAQUES Crystin"
"WUNDERLE Stefanie"
"GASPARIN Selina"
"HAMEL Carina"
"HAMILTON Tara"
"SZYMANCZAK Agnieszka"
"PODVIZ Renata"
"BRADY Paige"
"BOTT Flurina"
"PILLER Daniela"
"NILSSON Karin"
"HANSSON Sandra"
"CRUSIUS-HASLER Alexandra"
"PATZER Hilary"
"KAEMPF Mandy"
"VOELKEL Steffi"
"DIKKEMA Shannon"
"STEEN Andreas Myran"
"PLOSKONOSOV Dmitriy"
"KLING Peter"
"SKOBELEV Vladislav"
"PERLYAK Stanislav"
"GRADER Thomas"
"MIKKOLAINEN Juha-Matti"
"VESTBOE Thomas"
"HAMR Jan"
"FREMO Thomas"
"BISKUP Wojciech"
"HLUCHNIK Mariusz"
"MORK Ole Christian"
"DENGEL Bart"
"KOZACHOK Dmytro"
"ENDERS Marcus"
"PIETROGIOVANNA Daniel"
"BRUS Darjan"
"HARSEM Kathrine Rolsted"
"JANOVSKAJA Jana"
"NAZAROVA Irina"
"ABE Risa"
"SIMILLE Manon"
"HANCIKOVA Hana"
"YAGUCHI Sayuri"
"FITZGERALD Kate"
"BERTHELSEN Niviaq Chemnitz"
"BELAIA Anna"
"OMORI Naoko"
"LEANCA Ionela Gabriela"
"PELLEGRINI Sara"
"KRAUSE Jessica"
"RICE Kasandra"
"OWEN Kristina"
"SVEEN Simen Andreas"
"EINARSSON Snorri"
"MOE Ola Erik Heen"
"LAMPINEN Antti"
"BRAATHEN Kristian"
"ULSUND Einar A"
"PEDERSEN Morten Eide"
"HANSSEN John Chris Deighan"
"ANSNES Ronny Fredrik"
"FJELD Oeyvind Moen"
"BERDAL Tore Bjoerseth"
"RENNEMO Anders Tettli"
"MYRLAND Anders"
"BERGE Harald"
"HAMMER Martin"
"THYLI Vetle"
"OEDEGAARD Rune Malo"
"HAMMER Kristian Riseth"
"NYGAARD Bjoern Thomas"
"DRIVENES Erlend"
"MYTHE Per Oeyvind"
"BRAATHEN Joergen"
"THYGESEN Torgeir Skare"
"HALLEN Stian"
"PETTERSEN Morten Harjo"
"HOFF Sindre"
"TOFTEGAARD Lars Amund"
"STORROENNING Christer"
"KNUDTZON Nicolas"
"HOEYDAHL Sigve"
"UPADHYAY Varun"
"LAVONEN Tommi"
"SAETHER Jonas"
"HYTTEHAUG Lars"
"BALTO Baard Vegard Ytrehauge"
"BAEKKEN Simen"
"MAEHLUM Nils-Einar"
"MIKKELSEN Espen"
"KAAS Sverre Waaler"
"GODOE Vegard"
"BJOERGEN Per Egil"
"HOEYE Andreas Wold"
"AALBERG Jonas"
"EINVIK Kenneth Helgesen"
"ANDERSEN Martin"
"NYENG Emil"
"LORENTSEN Eirik"
"FENRE Tobias Dahl"
"SVINGHEIM Magnus"
"KRISTOFFERSEN Inge"
"NYGAARD Per Kristian"
"ODSAETER Lars Vingli"
"STOKKE Sindre"
"JENSEN Vegar Hattestad"
"DAHL Svein Halvor"
"VANNEBO Morten"
"MOE Markus"
"GJERDALEN Njaal Tage"
"SAELE Erik Dimmen"
"FALLA Marius Caspersen"
"AALAND Reinar"
"HILMO Jo Vegard"
"NORDGAARD Rune"
"HALSETH Petter"
"KLEMOEN Eivind"
"OLIMB Henrik"
"JELSTAD Stian S."
"KORSMO Frode"
"STEEN Tobias Vik"
"KRISTINSSON Brynjar Leo"
"PAJUNOJA Aki"
"ANDRESEN Ragnar Bragvin"
"VAHTRA Eno"
"KAURSON Tomas"
"KALJUVEE Rando"
"TEEARU Hans"
"RIBAKOVS Pavels"
"JONSSON Paer"
"GUSTAFSSON Johan"
"GUSTAFSSON Joachim"
"JOENSSON Peter"
"THORESSON Jonatan"
"PAULSEN Steffen Saeterhagen"
"HEDLUND David"
"HERRMAN Johan"
"WESTERLUND Johan"
"LINDBLOM Hampus"
"AAHL Jim"
"LARSSON Adam"
"BLOM Rasmus"
"SOEDERGREN Anton"
"AAKERBLOM-ANDERSSON Robert"
"BERGGREN Thobias"
"FRISK David"
"LINDELL Jonas"
"SOLIN Anders"
"NILSSON Klas"
"BERGSTROEM Oscar"
"BRINDBERGS Emil"
"LINDBLAD Martin"
"SPILLER Leon"
"SIULATOV Pavel"
"ROMANOV Viktor"
"ROMANOV Anatoliy"
"AALTO Matti"
"KUORELAHTI Topi"
"KUUSELA Mikko"
"IDSTROEM Reima"
"JARVA Olli"
"KOISTINEN Kalle"
"SEPPANEN Atte"
"STENBACK Janne"
"PALOSAARI Heikki"
"MONONEN Janne"
"PELTTARI Pasi"
"LAHDEMAKI Sami"
"TUUKKANEN Ville"
"HAAHTI Antti"
"LARSSON Tor"
"KYMALAINEN Kimmo"
"KETELAE Toni"
"PIRTTIJOKI Ville"
"JELONEN Henri"
"UOTILA Juho"
